,tconst,startYear,runtimeMinutes,genres,title
16532,tt0337978,2007,128,"Action,Thriller",Die Hard 4 : Retour en enfer
16533,tt0337996,2003,89,"Comedy,Documentary",DysFunktional Family
16534,tt0338013,2004,108,"Drama,Romance,Sci-Fi",Eternal Sunshine of the Spotless Mind
16535,tt0338015,2002,52,Documentary,L'exil à Sedan
16537,tt0338094,2003,99,"Comedy,Family,Fantasy",Le manoir hanté et les 999 fantômes
16538,tt0338095,2003,91,Horror,Haute tension
16540,tt0338096,2004,86,"Drama,Music,Romance",Dirty Dancing 2
16541,tt0338097,2004,132,"Drama,Romance,War",Nous étions libres
16542,tt0338135,2003,99,"Comedy,Crime,Drama",Les invasions barbares
16543,tt0338188,2003,137,"Adventure,Drama,Thriller",Les disparues
16544,tt0338189,2001,70,Documentary,Latina/Littoria
16545,tt0338216,2007,124,"Drama,Romance,Sport",Lucky You
16546,tt0338249,2002,91,Comedy,Merci Docteur Rey
16548,tt0338309,2003,113,Drama,Ondskan
16549,tt0338325,2004,84,"Action,Crime,Drama",Paparazzi objectif chasse à l'homme
16550,tt0338330,1990,106,"Biography,Drama,History",La passion de Bernadette
16551,tt0338337,2003,119,"Action,Mystery,Sci-Fi",Paycheck
16552,tt0338348,2004,100,"Adventure,Animation,Comedy",Le Pôle Express
16553,tt0338357,2002,74,Documentary,Noam Chomsky: Pouvoir & terreur
16554,tt0338459,2003,84,"Action,Adventure,Comedy",Spy kids 3: Game Over
16556,tt0338466,2003,118,Comedy,Deux en un
16557,tt0338472,1982,128,"Mystery,Thriller",Suraag
16558,tt0338512,2004,109,"Adventure,Drama,Family",Deux frères
16559,tt0338516,1980,90,Drama,Un escargot dans la tête
16560,tt0338526,2004,131,"Action,Adventure,Fantasy",Van Helsing
16561,tt0338554,2003,87,"Crime,Thriller",Ruée vers la blanche
16562,tt0338564,2002,101,"Action,Crime,Drama",Infernal Affairs
16563,tt0338714,2003,92,"Drama,Romance",Bonjour l'angoisse
16564,tt0338732,2002,90,"Crime,Drama,History",Aram
16565,tt0338751,2004,170,"Biography,Drama",Aviator
16566,tt0338763,2003,155,"Action,Adventure,Drama",Battle royale 2: requiem
16567,tt0338769,2005,90,"Action,Adventure,Family",Le Sang des Vikings
16568,tt0338828,2003,95,Comedy,Mais qui a tué Pamela Rose?
16569,tt0338968,1980,90,Thriller,Engrenage
16570,tt0338975,2003,100,Drama,Errance
16571,tt0338977,2003,117,"Comedy,Drama,Romance",Votre bouche avec la mienne
16573,tt0338978,1991,95,Documentary,Et la vie
16574,tt0339028,2003,95,Comedy,France Boutique
16575,tt0339134,2002,75,Family,Chapeau de Paille et Charentaises
16576,tt0339135,2003,98,"Action,Drama,Thriller",In Hell
16577,tt0339147,2004,80,"Action,Crime,Horror",Highwaymen - La poursuite infernale
16578,tt0339204,2003,137,"Drama,Thriller",Inquiétudes
16579,tt0339230,2003,90,"Action,Comedy",Cops
16580,tt0339279,2003,101,"Comedy,Romance",Laisse tes mains sur mes hanches
16581,tt0339291,2004,108,"Adventure,Comedy,Family",Les désastreuses aventures des orphelins Baudelaire
16582,tt0339305,2003,77,Drama,Les lionceaux
16583,tt0339323,2003,77,Comedy,Lovely Rita
16586,tt0339334,2005,85,"Adventure,Animation,Comedy",Pollux - Le manège enchanté
16587,tt0339357,2003,150,"Drama,Fantasy,Mystery",Histoire de Marie et Julien
16588,tt0339366,2003,108,Drama,Cadeau du ciel
16589,tt0339368,2006,90,Drama,Mathilde
16591,tt0339482,2003,90,"Crime,Drama",L'Outremangeur
16592,tt0339496,2002,80,"Action,Crime,Thriller",Bad Guys
16593,tt0339525,2003,97,Comedy,Le point D
16595,tt0339537,2004,90,"Crime,Drama,Thriller",Justice criminelle
16596,tt0339553,2003,104,"Comedy,Drama,Romance",Rabalaïre
16598,tt0339558,2003,112,Drama,Raja l'Africaine
16600,tt0339572,2003,105,Comedy,Renée
16602,tt0339579,2002,116,"Action,Adventure,Sci-Fi",The returner
16603,tt0339607,2003,84,Comedy,À l'ouest du Montana
16604,tt0339673,2002,85,Documentary,"Sibérie, la dernière nuit"
16605,tt0339707,2003,94,"Drama,History",Song for a Raggy Boy
16606,tt0339727,2004,97,"Drama,Music,Romance",Les Rebelles (Stateside)
16608,tt0339743,2005,96,"Action,Biography,Drama",Le Dernier confédéré
16609,tt0339806,2003,91,"Comedy,Drama","Torremolinos, le strip-tease de ma copine"
16610,tt0339837,1980,85,Comedy,Un amour d'emmerdeuse
16612,tt0339840,2003,104,"Action,Comedy,Fantasy",Undead
16614,tt0339918,2002,85,"Action,Horror,Mystery",Les Loups de Wall Street
16615,tt0340012,2004,104,"Comedy,Drama,Romance",Adorable Julia
16616,tt0340086,2003,100,"Crime,Drama,Mystery",Dédales
16617,tt0340096,2003,100,"Adventure,Drama,Fantasy",The Emperor's Wife
16618,tt0340099,2002,108,"Comedy,Drama",Oublie tout ce que je t'ai dit
16619,tt0340137,2004,110,"Drama,Romance",Grande École
16620,tt0340149,2003,90,"Comedy,Romance",Hatley High
16621,tt0340163,2005,113,"Action,Crime,Drama",Otage
16622,tt0340181,2003,105,Comedy,Janis et John
16623,tt0340227,2002,92,"Action,Adventure",Blood Heat
16624,tt0340310,2001,90,"Comedy,Crime,Family",Regina!
16625,tt0340376,2003,114,"Drama,Thriller",Crimes contre l'humanité
16626,tt0340377,2003,89,"Comedy,Drama",Le chef de gare
16628,tt0340407,2002,102,"Comedy,Drama",Le Costard
16629,tt0340468,2002,150,"Crime,Documentary",Bus 174
16630,tt0340794,1982,90,Drama,Une femme pour mon fils
16631,tt0340855,2003,109,"Biography,Crime,Drama",Monster
16632,tt0340910,2002,100,Drama,Poupées d'argile
16633,tt0340919,2004,117,"Crime,Drama,Romance",Traque à Puerto Vallarta
16634,tt0341069,2002,95,Drama,Un petit cas de conscience
16636,tt0341266,2003,113,"Horror,Mystery,Thriller",Fantômes
16638,tt0341358,1985,115,Drama,Le fils aîné
16639,tt0341372,2003,90,"Comedy,Drama,Romance",Embarquement immédiat
16640,tt0341384,2002,91,"Drama,War",The Coast Guard
16641,tt0341495,2002,92,"Action,Crime,Drama",Naked Weapon
16642,tt0341503,1983,95,"Action,Drama",Les 5 Foudroyants de Shaolin
16643,tt0341555,2002,96,"Comedy,Drama,Romance",Sex Is Zero
16644,tt0341561,1989,87,Drama,Sans défense
16649,tt0342167,2003,114,"Comedy,Drama,Musical",Camp
16650,tt0342258,2005,103,"Action,Crime,Drama",Danny the Dog
16651,tt0342272,2005,105,"Comedy,Crime,Drama",Dear Wendy
16652,tt0342419,2003,90,"Drama,Horror,Thriller",La fille
16653,tt0342454,2002,180,"Adventure,Comedy,Drama",La fête de l'amour
16654,tt0342492,2003,100,"Comedy,Drama",Les bouchers verts
16655,tt0342508,2003,106,"Horror,Mystery,Thriller",La malédiction du pendu
16656,tt0342697,2002,106,Drama,Life show
16657,tt0342735,2005,139,Drama,Manderlay
16658,tt0342771,2003,105,"Comedy,Drama,Romance",Miffo
16659,tt0342777,2003,80,"Drama,Family",Misa et les loups
16660,tt0342798,2003,114,Comedy,La femme qui croyait être présidente des Etats-Unis
16661,tt0342810,1986,108,Drama,Les eunuques
16662,tt0342882,2004,99,"Animation,Drama,Family",L'accordeur de tremblements de terre
16665,tt0343135,2004,90,"Comedy,Romance",Polly et moi
16666,tt0343172,2003,96,"Crime,Drama",Case départ
16667,tt0343175,2001,98,Drama,Quand Maryam s'est dévoilée
16668,tt0343181,1987,71,Documentary,Wild Flowers: Women of South Lebanon
16669,tt0343221,2005,111,"Drama,War",Une autre mère
16671,tt0343426,2003,93,Comedy,La beuze
16672,tt0343449,2003,90,"Horror,Mystery,Sci-Fi",Bone Snatcher
16673,tt0343513,2003,98,"Drama,Romance",Vert paradis
16675,tt0343524,2003,105,"Comedy,Crime,Drama",Ce jour-là
16676,tt0343660,2004,99,"Comedy,Drama,Romance",Amour & amnésie
16677,tt0343663,2004,104,"Drama,Romance",Eros
16678,tt0343737,2006,167,"Drama,History,Thriller",Raisons d'état
16679,tt0343818,2004,115,"Action,Mystery,Sci-Fi","I, Robot"
16680,tt0343856,2003,95,Drama,"Je t'aime, je t'adore"
16681,tt0343941,2002,58,Documentary,"Krône, l'Autriche entre les lignes"
16683,tt0343962,2004,101,"Action,Adventure",Le Mexicain
16684,tt0343996,2005,144,"Drama,Romance",Adieu Cuba
16685,tt0344273,2004,150,"Comedy,Drama,Romance",Rois et reine
16686,tt0344485,2003,85,"Drama,Romance",Toutes ces belles promesses
16687,tt0344499,2000,106,"Action,Comedy,Romance",Tunay na tunay: Gets mo? Gets ko!
