,tconst,startYear,runtimeMinutes,genres,title
87,tt0079924,1980,104,"['Drama', 'Music']",Solo Sunny
88,tt0080001,1980,118,"['Action', 'Comedy', 'Drama']",Rosy la bourrasque
89,tt0080031,1980,98,"['Biography', 'Crime', 'Drama']","Tom Horn, le hors-la-loi"
90,tt0080041,1980,120,"['Comedy', 'Musical', 'Romance']",Tous vedettes!
91,tt0080075,1980,85,"['Action', 'Crime', 'Drama']",Vacanze per un massacro
92,tt0080082,1980,106,['Drama'],Les parents du dimanche
93,tt0080144,1980,92,['Action'],Les Sept dragons du kung fu
94,tt0080153,1980,89,"['Action', 'Drama']","Maître Lee, vainqueur des Mandchous"
95,tt0080164,1981,92,['Drama'],Au-delà de cette limite votre ticket n'est plus valable
96,tt0080310,1980,107,"['Drama', 'History', 'War']",Héros ou salopards
97,tt0080319,1980,109,['Comedy'],Comment se débarrasser de son patron
98,tt0080339,1980,88,['Comedy'],Y a-t-il un pilote dans l'avion?
99,tt0080354,1980,91,"['Horror', 'Sci-Fi', 'Thriller']",L'Incroyable Alligator
100,tt0080355,1981,118,"['Drama', 'War']",Allons z'enfants
101,tt0080360,1980,102,"['Horror', 'Sci-Fi', 'Thriller']",Au-delà du réel
102,tt0080361,1980,87,['Drama'],L'altra donna
103,tt0080362,1981,88,"['Horror', 'Thriller']",Le couvent infernal
104,tt0080363,1981,83,['Drama'],Les élèves de Madame Olga
105,tt0080365,1980,117,"['Crime', 'Drama', 'Mystery']",American Gigolo
106,tt0080377,1980,116,"['Action', 'Comedy']",Ça va cogner...
107,tt0080379,1980,96,"['Drama', 'Fantasy', 'Horror']",Pulsions cannibales
108,tt0080380,1980,90,"['Music', 'Musical', 'Sci-Fi']",BIM Stars
109,tt0080388,1980,104,"['Crime', 'Drama', 'Romance']",Atlantic City
110,tt0080402,1980,105,['Horror'],La Malédiction de la vallée des rois
111,tt0080406,1980,95,['Drama'],Babylon
112,tt0080408,1980,123,"['Drama', 'Mystery', 'Thriller']",Enquête sur une passion
113,tt0080412,1980,103,"['Comedy', 'Crime', 'Drama']",Revanche à Baltimore
114,tt0080414,1980,83,"['Action', 'Comedy']",La vengeance de Liu
115,tt0080415,1980,131,"['Comedy', 'Drama']",La banquière
116,tt0080419,1980,109,"['Drama', 'Romance']",L'Île des enfants
117,tt0080421,1980,104,"['Action', 'Adventure', 'Sci-Fi']",Les mercenaires de l'espace
118,tt0080431,1980,94,['Horror'],Les forces de l'au-delà
119,tt0080432,1980,129,"['Crime', 'Drama', 'Mystery']",Pas l'ombre d'un doute
120,tt0080436,1980,95,"['Action', 'Comedy', 'Crime']",Le Chinois
121,tt0080437,1980,113,"['Drama', 'War']",Au-delà de la gloire
122,tt0080438,1982,75,['Horror'],Satan's baby doll
123,tt0080439,1980,107,"['Comedy', 'Romance']",Le vieux garçon
124,tt0080440,1981,92,['Horror'],Le Chat noir
125,tt0080441,1981,104,"['Action', 'Crime']",Black Jack
126,tt0080442,1980,113,"['Comedy', 'Crime', 'Drama']",Flics-Frac!
127,tt0080447,1980,112,['Drama'],Le sang d'Hussain
128,tt0080453,1980,104,"['Adventure', 'Drama', 'Romance']",Le lagon bleu
129,tt0080455,1980,133,"['Action', 'Adventure', 'Comedy']",Les Blues Brothers
130,tt0080464,1980,82,['Horror'],Spectre
131,tt0080465,1980,99,"['Action', 'Drama']","Chicanos, chasseur de têtes"
132,tt0080466,1980,72,['Drama'],Le borgne
133,tt0080469,1980,104,"['Drama', 'Musical']",Breaking Glass
134,tt0080470,1980,88,['Drama'],International Prostitution
135,tt0080472,1980,116,"['Action', 'Adventure', 'Comedy']",Bronco Billy
136,tt0080474,1980,131,"['Crime', 'Drama']",Brubaker
137,tt0080475,1980,86,"['Action', 'Drama']",Combats de rue
138,tt0080482,1980,100,['Drama'],Bye Bye Brasil
139,tt0080485,1980,91,"['Action', 'Adventure', 'Crime']",Cabo Blanco
140,tt0080486,1980,102,['Horror'],Sexo-Canibale
141,tt0080487,1980,98,"['Comedy', 'Sport']",Le golf en folie !
142,tt0080488,1980,100,['Comedy'],Café Express
143,tt0080489,1980,101,['Comedy'],La Cage aux folles II
144,tt0080492,1980,124,"['Biography', 'Comedy', 'Musical']",Rien n'arrête la musique
145,tt0080501,1981,95,['Action'],L'enfer en 4ème vitesse
146,tt0080503,1980,91,"['Horror', 'Thriller']",La Maison au fond du parc
147,tt0080509,1981,105,['Comedy'],Celles qu'on n'a pas eues...
148,tt0080511,1980,97,"['Comedy', 'Drama']",Certaines nouvelles
149,tt0080512,1980,96,"['Action', 'Drama', 'Mystery']",Griffes d'acier contre léopard noir
150,tt0080513,1980,92,"['Action', 'Drama', 'Sci-Fi']",Réaction en chaîne
151,tt0080515,1980,102,"['Comedy', 'Drama']",Changement de saisons
152,tt0080516,1980,107,"['Horror', 'Mystery']",L'enfant du diable
153,tt0080518,1981,96,"['Biography', 'Drama', 'War']",Charlotte S.
154,tt0080523,1980,97,"['Comedy', 'Crime']",Les chiens chauds XXX
155,tt0080527,1980,93,"['Horror', 'Sci-Fi']",De si gentils petits... monstres!
156,tt0080530,1980,102,"['Action', 'Comedy', 'Family']",Faut pas pousser!
157,tt0080536,1981,106,['Drama'],Les âges du coeur
158,tt0080539,1980,139,"['Comedy', 'Drama', 'Fantasy']",La cité des femmes
159,tt0080541,1981,110,"['Comedy', 'Drama', 'Music']",Clara et les Chics Types
160,tt0080545,1980,104,"['Adventure', 'Drama']",Force G
161,tt0080549,1980,124,"['Biography', 'Drama', 'Music']",Nashville Lady
162,tt0080552,1980,100,['Drama'],Cocktail Molotov
163,tt0080554,1982,117,['Drama'],Colegas
164,tt0080556,1980,123,"['Drama', 'Music', 'Romance']",Le concours
165,tt0080561,1980,87,['Drama'],La constante
166,tt0080563,1981,100,"['Biography', 'Drama', 'Romance']","Moi, l'autre"
167,tt0080565,1980,98,"['Adventure', 'Comedy', 'Crime']",Le Coup du parapluie
168,tt0080569,1980,102,"['Crime', 'Drama', 'Mystery']",Cruising - La Chasse
169,tt0080576,1981,91,['Drama'],Quarantaine
170,tt0080603,1980,91,"['Adventure', 'Horror', 'Mystery']",Cauchemar nazi
171,tt0080605,1980,103,"['Action', 'Crime', 'Drama']",Les massacreurs de Brooklyn
172,tt0080606,1980,92,"['Comedy', 'Crime']",Crime à Milan
173,tt0080607,1981,82,['Horror'],La maison du cauchemar
174,tt0080610,1980,131,"['Drama', 'Romance', 'War']",Le dernier métro
175,tt0080611,1981,85,['Drama'],Dernier été
176,tt0080612,1981,98,['Drama'],Desperado City
177,tt0080616,1980,152,"['Drama', 'History', 'War']",Allemagne mère blafarde
178,tt0080619,1980,110,"['Comedy', 'Drama']",Deux lions au soleil
179,tt0080630,1980,95,['Comedy'],"Accroche-toi, j'arrive"
180,tt0080634,1980,95,"['Comedy', 'Documentary', 'Music']",Divine Madness
